GeneSymbol,GSM1589037,GSM1589130,GSM1589132,GSM1589135,GSM1589136,GSM1589139,GSM1589142,GSM1589144,GSM1589145,GSM1589148,GSM1589150,GSM1589151
BIRC2,9.8065990823535,9.31080922099533,8.77939004730616,10.0250772703961,9.80252512197139,9.17612532496311,9.84222715716858,9.94075222634188,10.0727326185813,9.68916198309122,9.70126230781169,9.56876090372547
BIRC5,6.8750350948759476,5.002394834682823,5.482853630779207,4.315570765425325,5.882714594904107,5.359133396554507,4.685285251692065,5.058360848380603,4.931243256486275,4.900013477695983,4.80977133902547,4.858122044775859
BRCA1,7.166554567284329,6.052952746296546,5.83867055227028,5.565486945891205,5.40777250684158,5.916732040811276,5.930840774240675,5.940601493231956,5.570375331596599,6.2528560900258,5.60459644186357,5.64739122933691
BTG3,7.171924556782358,5.121349381172733,5.7481509782294475,6.244921135255873,6.0070628197782705,5.499418474948422,5.733662175774855,5.878543751266035,5.851983993511098,5.519866565404855,5.922045568344897,5.969173807214455
CASP10,5.823733364491533,5.825701789413382,6.040379966696545,5.3903761590434405,5.524673590790033,5.763848242656458,5.759527432884372,5.6803679598916,5.645485815070672,6.062117112690247,5.770652177246345,5.624249710511817
CASP2,5.853854234358307,5.3287284266156005,5.996984463497138,5.046072921923257,4.84406224988546,5.567937297602507,5.443475198370123,5.1295518791814985,5.5747604731236935,5.323198812412819,5.499649967029063,5.263804639564208
CASP3,8.52142397057755,6.26860552787857,5.72653988683275,7.38581918187574,7.24367652647895,5.49629740230262,6.59018049037234,6.93959794749379,6.86123816170845,7.09234818982504,6.92882237839972,6.9799662936251
CASP6,8.5394881925591,8.081176097317314,7.201344832146795,7.97652103329874,8.073844095511056,7.55580921808699,8.35964260232306,7.911826790508849,7.76939754485475,7.268821795799375,7.864657612843645,7.73242052403112
CASP7,7.56656782254702,6.69568335084547,6.99979488159992,7.48476957110193,7.6974246824229,6.5027857115817,7.29724213075414,7.41221552813565,7.00570517612779,7.67317339444403,6.80099292513138,7.5936662125396
CASP8,5.293225203464007,4.926610866518193,5.231073683414286,5.068652927685943,5.1801419815716,4.91066589273182,4.865756665089787,4.71662693926314,5.00894716725157,4.822568786299873,4.9833261445248995,5.159115416155466
CASP9,5.707349194237881,6.27465449934951,6.4830427453438695,6.191237240067213,6.09699625605089,6.297797364314153,6.392882449737737,6.3719559544756095,6.14255145715252,5.908956935532353,6.18499322726239,6.254788697572003
CAV1,8.908509529241226,9.567550925798354,9.28054225022597,11.349696718449149,10.89371027841475,8.8290117856756,10.221158891187475,11.07926572730905,9.277861153983494,10.887264838562452,11.898461618104001,13.07566227356675
CCND1,7.818771337995734,9.2222245768579,7.483215450182065,8.23296536917828,8.590128852612365,8.443895556694006,7.90394081889805,8.38580876127749,8.03916843914075,7.994171095848861,7.5896054075559505,7.210621960285825
CD44,8.142522243947733,6.046930194804726,5.904656400815769,6.877733644184091,6.7259439473525635,6.166711135589119,6.423206621771366,6.448459359758823,6.37059970962146,6.491227966073442,6.57451154337275,6.576460491369487
CD82,8.194758135296464,7.726940799274525,7.367523663443745,7.953057624000451,7.490222503333829,7.85289542933378,7.464338809712455,7.556181805229805,7.787873106383305,7.2103897574192946,7.13691287623187,7.032265867557131
