Target_Gene;Source_Gene;Interaction_Type
STAT3;MTA1;1
STAT3;NFKB1;1
STAT3;PML;-1
STAT3;RB1;-1
STAT3;RELA;1
STAT3;SETDB1;1
STAT3;TRIP13;1
STAT5A;MAPK3;1
STAT5A;UBE2D1;-1
SYNPO;YWHAB;1
TGFB1;ATF2;1
TGFB1;CREB1;1
TGFB1;FOS;1
TGFB1;HIF1A;1
TGFB1;NFE2L2;-1
TGFB1;NFKB1;1
TGFB1;PPARD;1
TGFB1;REL;1
TGFB1;RELA;1
TGFB1;STAT3;1
TGFBR1;TGFB1;1
TGFBR1;TGFBR2;1
TGFBR1;YWHAB;1
TGFBR2;FOS;1
TGFBR2;TGFB1;1
TK1;E2F1;1
TNRC6A;HSP90AB1;1
TP53;ARRB1;-1
TP53;BCL2;-1
TP53;BCL2L1;-1
TP53;BCL6;-1
TP53;BRCA1;1
TP53;CREB1;1
TP53;CSNK2B;-1
TP53;DAXX;-1
TP53;E2F1;1
TP53;ETS1;1
TP53;EZH2;-1
TP53;HDAC1;-1
TP53;HSP90AB1;-1
TP53;MTA1;-1
TP53;NFKB1;1
TP53;PARP1;1
TP53;PLAU;-1
TP53;PLK2;1
TP53;PML;1
TP53;PSMD4;-1
TP53;REL;1
TP53;SETDB1;-1
TP53;STAT3;-1
TP53;TRIM29;-1
TP53;UBE2D1;-1
TP53;USP7;-1
TP53;WWP1;-1
TP53;YWHAB;1
TRIB3;TP53;1
UBQLN1;GABPA;1
USP7;STAT3;1
VIM;ARRB1;1
VIM;ATF2;1
VIM;CREB1;-1
VIM;E2F1;1
VIM;FOS;1
VIM;ITGB4;1
VIM;NFKB1;1
VIM;PARP1;1
VIM;SQSTM1;1
VIM;STAT3;1
VIM;STAT5A;1
VIM;TP53;-1
XIAP;AKT2;1
XIAP;STAT5A;1
XIAP;TP53;-1
YWHAB;AKT2;1
YWHAB;PPARD;1
YWHAB;SOD1;-1
